time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-19 00:00:00+00:00,13,11,81,28
2022-06-20 00:00:00+00:00,22,20,146,50
2022-06-21 00:00:00+00:00,18,16,92,35
2022-06-22 00:00:00+00:00,21,19,126,42
2022-06-23 00:00:00+00:00,17,17,79,40
2022-06-24 00:00:00+00:00,10,10,70,28
2022-06-25 00:00:00+00:00,14,12,61,31
2022-06-26 00:00:00+00:00,16,14,57,27
2022-06-27 00:00:00+00:00,10,8,43,15
2022-06-28 00:00:00+00:00,10,10,61,27
2022-06-29 00:00:00+00:00,10,9,71,33
2022-06-30 00:00:00+00:00,12,12,50,23
2022-07-01 00:00:00+00:00,14,13,38,21
2022-07-02 00:00:00+00:00,5,5,13,10
