url_path,views_total,views_unique
/bagarrattaa/email-nuker,474,318
/bagarrattaa/email-nuker/blob/main/bomber.py,45,33
/bagarrattaa/email-nuker/blob/main/emailbomber.py,36,32
/bagarrattaa/email-nuker/issues,25,12
/bagarrattaa/email-nuker/tree/main/.github/workflows,19,14
/bagarrattaa/email-nuker/blob/main/README.md,14,11
/bagarrattaa/email-nuker/issues/11,13,7
/bagarrattaa/email-nuker/find/main,11,8
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,10,8
/bagarrattaa/email-nuker/releases/tag/v1.0.0,7,6
